answer, option_b, option_d, option_c
A, "Friedrichs ataxia Pattern", "Kawasaki disease", "Downs syndrome"
C, "Arteriolosclerosis", "Dissecting aneurysm", "Monckebergs sclerosis"
A, "Renal", "Coronary", "Hepatic"
A, "Thrombosis", "Hyaline sclerosis", "Fibrinoid necrosis"
D, "Blockage of 2nd and 3rd gen end arteries", "None", "Arterioles are blocked"
A, "Chronic bronchitis", "Bronchiectatsis", "Emphysema"
A, "Right upper lobe", "Left upper lobe", "Left middle lobe"
D, "Azoospermia", "Renal failure", "Nasal polyps"
D, "RBC's fill the alveoli", "Accumulation of fibrin", "Organisms fill the alveoli"
A, "Cytokeratin", "Vimentin", "Desmin"
C, "Bronchiactasis", "Bronchitis", "Atelectasis"
C, ">80%", "10%", "40-60%"
A, "Ploidy of cells", "Mutation, of clp gene", "Age < 1 yr"
A, "Analgesic nephropathy", "Post streptococcal glomerulonephritis", "Chronic pyelonephritis"
D, "Glomerulus", "Collecting duct", "Loop of henle"
A, "Minimal change disease", "Focal GN", "Acute GN"
D, "FSGN", "None", "Membranous glomerulonephritis"
A, "Proximal convoluted tubule", "Collecting tubule of the kidney", "Distal convoluted tubule"
A, "Mesangium + fibrin + macrophage", "Mesangiaum + fibrin", "Tubule + mesangiaum + fibrin"
A, "Ascariasis", "None", "Malaria"
A, "CIL", "ALCL", "Diffuse large B cell lymphoma"
B, "Immature B cells", "Both T & B cells", "Immature T cells"
B, "T (15,17)", "T (9,11)", "T (8, 21)"
A, ">Acute myelomonocytic leukemia", ">Autoimmune hemolytic anemia", ">CMC"
A, "Polysplenia", "Acanthocytosis", "Spherocytosis"
D, "DIC", "All", "Severe iron deficiency"
C, "Lymphocyte predominant", "All of the above", "Nodular Sclerosis Type"
A, "Gonadal tumor", "Intracranial neoplasms", "Parkinsonism"
A, "CD 1B", "CD1D", "CDIC"
A, "Hockey stick", "Ball", "Bat"
B, "Replacement of glutamate by valine in n-chain of HbA", "Substitution of valine by glutamate in the a-chain of HbA", "A nonsence mutation in the I3-chain of HbA"
D, "Acute G6PD", "b and c", "Sickle cell ds"
D, "Sickle cell anemia", "PNH", "Hereditary spherocytosis"
C, "CD 51 and CD 59", "CD58 and CD 59", "CD 55 and CD 59"
B, "IgM", "IgD", "IgA"
C, "Megaloblastic type", "All of above", "Myelophthisic type"
A, "Vit B12 deficiency", "None", "Aplastic anemia"
C, "Thrombocytopenia", "PT elevation", "Normal APTT"
D, "ABO match not required", "To be used within 30 minutes of having trauma", "Should be used in replacement of factors in DIC/trauma"
C, "60%", "70%", "65%"
A, "Intestinal ca", "Pancreatic ca", "Thyroid ca"
D, "Esophagus", "Stomach", "Colon"
A, "Balloning degeneration", "Central hyaline sclerosis", "Microvesicular fatty changes"
A, "Renal cell carcinoma", "Astrocytoma", "Lymphoma"
A, "Fibrolamellar hepatocellular carcinoma", "Hepatocellular carcinoma", "Gall bladder carcinoma"
D, "Adenomatous gall bladder polyps", "Oral contraceptives", "Choledochal cysts"
A, "Left sided heart", "Decreased pulmonary pressure", "Increased pulmonary pressure"
A, "Chronic regenerative hyperplasia", "None", "Hepatoblastoma"
C, "Councilman bodies", "All", "Bridging necrosis"
A, "Subacute sclerosing panencephalitis", "Cerebral toxoplasmosis", "Fatal familial insomnia"
B, "Spongiform change in brain", "Demyelination", "Microabscesses"
A, "Meningioma", "Hemangiopericytoma", "Fibrous tumor"
D, "Capsular invasion", "None", "Vascular invasion"
A, "Oncocytoma", "Renal cell carcinoma", "Lymphoma"
D, "Concentric whorled appearance", "Seen in teratoma", "Contains Calcium deposits"
B, "Hyperalbuminemia", "Myaesthenia Gravis", "Red cell aplasia"
A, "Carcinoma pituitary", "Meningioma", "Paraganglioma"
B, "Serous CA", "Chorioca", "Teratoma"
B, "Teratoma", "Papillary carcinoma", "Epidermal cystoids adenoma"
B, "Smoking", "Tamoxifen", "Infertility"
C, "Sertoli cell tumor", "Dermoid cyst", "Seminoma"
A, "Etiology", "None", "Site"
D, "Fibroadenoma", "Papilloma", "Adenosis"
C, "Spideroma", "Histiocytoma", "Rhabdomyosarcoma"
C, "Soft tissue", "Proximal portion of digits", "Distal portion of digits"
C, "Totipotent cells", "Neurons", "Neuroectodermal cells"
B, "CNS", "Spleen", "Liver"
B, "CDK2A", "None", "RET"
B, "HIV encephalitis", "Bacterial meningitis", "CMV meningitis"
C, "Brain", "Kidney", "Chemoreceptors"
A, "Sq. cell carcinoma", "Mixed parotid tumor", "Basal cell carcinoma"
A, "Pituitary", "Pineal gland", "Cerebrum"
B, "Unpredictable Bizzare reaction", "Delayed effect of drug", "Effect seen on chronic use of drug"
A, "Positive ionotropic", "Causes Vasoconstriction", "Improves renal perfusion"
A, "Prazosin", "Idazoxan", "Indoramine"
A, "Amiloride", "Epleronone", "Triamterene"
C, "Sampatrilat", "Abiraterone", "Spironolactone"
B, "Can be mixed with saline", "It is the drug of choice for myoclonic seizures", "Can be given orally"
B, "20 - 40%", "60 - 80%", "40 - 60%"
B, "Enalapril", "Blocker", "Methyldopa"
B, "Methy ldopa", "Prazosin", "Propanolol"
A, "V2 selective action", "All", "Given orally"
A, "Ptosis", "Horner’s syndrome", "Bell’s palsy"
A, "Antipsychotic drugs", "Chemotherapy induced vomiting", "GERD"
D, "Adenosine receptor antagonism", "Beta-2 receptor stimulation", "Increased histone deacetylation"
B, "Asthma", "None of the above", "Rheumatoid arthritis"
B, "Corticosteroid", "Sodium cromoglycate", "Ipratropium"
B, "Vincristine", "Leflunomide", "Azathioprine"
C, "Tadalafil", "Testosterone", "Alprostadil"
A, "Uterine contraction", "None", "Flushing"
C, "PGE2", "PGI2", "PGF2 alpha"
B, "Cyclooxygenase", "Phospholipase", "Thromboxane synthase"
A, "Triamterene", "Furosemide", "Spironolactone"
A, "Hypokalemia", "Hypocalcemia", "Erectile dysfunction"
D, "More selective for Vireceptor", "a and c", "Has little vasconstrictor activity"
B, "Venlafaxine", "Arnoxipine", "Sertaline"
B, "High BMP", "Prechordal mesoderm", "FGF upregulation"
C, "12", "<0.6", "2.6"
A, "Clozapine", "Ketoconazole", "Tetracycline"
B, "ARDS", "Hepatitis", "Myocardial depression"
A, "Toxic compound damaging myocardial cells", "Vascular thrombosis and Myocardial ischemia", "Depressed neural control on heart"
C, "Suxamethonium", "Pancuronium", "Mivacurium"
C, "Regular insuin", "Insulin glargine", "NPH insulin"
C, "Cataract", "Growth retardation", "Glaucoma"
B, "Cortisone", "Betamethasone", "Dexamethasone"
A, "DOCA", "Triamsinolone", "Prednisolone"
B, "Cushing's syndrome", "Conn's syndrome", "Pheochromocytoma"
B, "Ulipristal", "Toremifene", "Nomegestrol"
C, "Natural non-steroidal estrogen", "Synthetic non-steroidal estrogen", "Synthetic steroidal estrogen"
A, "PDE inhibitor", "Androgen receptor blocker", "Alpha la blocker"
D, "Estriol", "Diethylstibestrol", "Estradiol"
C, "Fetal distress", "Water intoxication", "Peripheral vascular disease"
C, "Gynaecomastia", "Galactorrhea", "Atrophic gastritis"
A, "Orlistat", "Statins", "Cholestyramine"
C, "Amphoterecin B", "None of the above", "Terbinafine"
C, "Pravastatin", "Simvastatin", "Rosuvastatin"
B, "Change imipramine and haloperidol to fluoxetine and", "Discontinue all her medications and start her on steroids", "Only add bisacodyl for constipation and continue rest of the"
A, "5mg", "15mg", "10mg"
C, "Factor VIIIa", "Factor XIIa", "Factor Xa"
D, "Oral contraceptive", "Benzodiazepens", "Cephalosporins"
B, "Inhibit ADP mediated cAMP activation", "None", "GP IIb"
A, "IL 6", "PGE 1", "IL 8"
D, "Bind to 30 s unit", "Bind to tetrahydofolate reductase", "Bind to bacterial cell membrane"
D, "Chloramphenicol", "Sulfonamides", "Clindamycin"
B, "Sulphadoxine", "Sulfamethiazole", "Sulfamethoxazole"
B, "Amikacin", "Netilmicin", "Framycetin"
C, "2.5 mg/ kg twice daily for 5 days", "3.5 mg/ kg twice daily for 5 days", "3 mg/ kg twice daily for 5 days"
D, "Chicken-pox in first trimester", "All of the above", "Prophylaxis in recurrent herpes"
C, "Mefloquine", "Quinine", "Pyrimethamine"
A, "Polymyxin", "Teicoplanin", "Rifampicin"
C, "Cefazolin", "Ceftazidime", "Moxalactum"
A, "Non competitive inhibition", "Allosteric inhibition", "Uncompetitive inhibition"
D, "DNA inhibition", "More active at acidic pH", "Most potent 1st generation fluoroquinolone"
C, "DEC", "Albendazole", "Praziquantel"
A, "Enhances polymerization of tubulin", "Inhibits topoisomerase II", "Inhibits topoisomerase I"
B, "Cisplatin", "Cytosine arabinoside", "Bleomycin"
B, "T-cell blockade", "Wide-spread antitumor activity", "Decreased lymphophagocytic activity"
D, "Deficiency of thymidylate kinase", "Increased production of dihydrofolate reductase", "Deficiency of thymidylate synthetase"
B, "Arsenic", "Mercury", "Alcohol"
D, "It is used for renal cell carcinoma", "It is excreted primarily in urine", "It is used for the treatment of GIST"
A, "Valproate", "Phenobarbitone", "Carbamazepine"
C, "Fluoxamine", "Citaloforamin ", "Buspirone"
C, "Neostigmine", "All of the above", "Physostigmine"
C, "Female below 16 years", "None of the above", "Male below 18 years"
A, "Division of negligence", "None", "Division of malpractice"
B, "376A", "375B", "376B"
C, "Accidental death", "Murder", "Dowry death"
A, "Acts as defender", "None", "Gives judgement"
D, "Opposite party", "No conduct money is given", "Judge"
B, "Oral evidence can be cross-examined", "None", "Documentary evidence requires no proof"
C, "Patient only", "Hospital administrator and doctor", "Both doctor and patient"
A, "Limbs well formed", "Meconium is found in duodenum", "Anus is seen as dark spot"
A, "Height of an adult", "Identification", "Race of a person"
A, "Length of radius/humerus x 100", "Length of radius/ulna x 100", "Length of fibula/tibia x 100"
B, "Circles", "Arch", "Whorl"
C, "Poroscopy", "Tricology", "Cheiloscopy"
B, "Greenish discolouration over right iliac fossa", "Blood stained froth from mouth", "Greenish discolouration over dependent parts"
B, "Potassium", "Chloride", "Proteins"
A, "Sunstroke", "Septicemia", "Tetanus"
D, "Deep red", "Bright pink", "Cherry red"
C, "12 hours", "48 hours", "24 hours"
D, "Electrocution", "Putrefaction", "Hanging"
D, "Abdomen", "Any of the above", "Cervical"
A, "Hand", "Abdomen", "Thorax"
D, "Zygomatic bone", "Chest", "Shin"
D, "Patterned abrasion", "Contusion", "Imprint abrasion"
B, "Eye", "Scalp", "Pinna"
B, "Printed abrasion", "Bruise", "Laceration"
A, "Breadth is greater than depth", "It has wound of entry and exit", "Length is greater than breadth"
A, "Gunshot injury", "None", "Drowning injury"
B, "Gunshot injury", "Contusion", "Burns"
B, "Dermal nitrate test", "H2", "Benzidine test"
C, "Choke bore", "Muzzle", "Bullets"
C, "Lacerated wound", "Stab wound", "Firearm entry wound"
A, "Strangulation", "Railway accident", "Myocardial insufficiency"
D, "Ligature", "Traumatic asphyxia", "Overlaying"
A, "Hanging", "Traumatic asphyxia", "Smothering"
A, "Garrotting", "None of the above", "Bansadola"
A, "Asphyxia", "Ventricular fibrillation", "Loss of consciousness"
A, "Underdeveloped", "Distensible", "Too tough to rupture"
C, "Anterolateral", "Posterior", "Posterolateral"
B, "Sexual gratification by rubbing private parts", "None", "Sexual practise involving three people"
C, "HLA typing", "DNA fingerprinting", "Preciptin test"
B, "Kerosene poisoning", "Dhatura poisoning", "Organophosphorus Poisoning"
A, "HgC12", "Thallium arsenate", "Ar203"
B, "Wash with mild alkali agent", "Refer to higher centre", "Wash with strong alkali"
B, "Cannabis", "Clonidine", "Cocaine"
D, "Fish", "Bitter almond", "Fruity"
D, "Becomes unconscious in 1 h or so", "Remains conscious throughout", "Becomes unconscious at end stage"
A, "Emprosthotonus", "B and C", "Pleurosthotonus"
A, "Red Phosphorus", "Antimony", "Arsenic"
B, "Dhatura", "Aconite", "Cocaine"
B, "Oxalates", "Phosphates", "Phytates"
B, "Mesothelioma", "Anemia", "Hyperkeratosis of skin"
D, "Dapsone", "Arsenic", "Minocycline"
A:B, "Mercury", "Zinc", "Mercury"
B, "Carbolic acid", "Formic acid", "Oxalic acid"
D, "Root", "Unripe capsule", "Poppy seed"
B, "Cytochrome oxidase", "Protein synthesis", "Protein breakdown"
C, "Using vitriol for murder", "Perforation of stomach caused by H2SO4", "Vitriol throwing"
C, "Physotigmine", "Naloxone", "Barbiturates"
C, "Gastrointestinal irritation", "Cyanosis", "Muscular weakness"
D, "Diazinon", "Carbamate", "Phorate"
D, "Acetycysteine", "Fomipizole", "Ferric chloride"
A, "Carbolic acid", "Nitric acid", "Sulphuric acid"
C, "Cocaine", "Benzodiazepines", "Alcohol"
A, "Galen", "Orfila", "Galton"
D, "Amphetamine", "Heroine", "Cocaine"
B, "Dried papaya seed", "None", "Fine sand"
D, "Kastle Mayer test", "Teichmann test", "Ortho toludine test"
C, "Crait", "Sea snake", "Viper"
C, "Reassuarance", "Clean with soap and water", "Local incision"
B, "Tooth", "Blood", "Buccal mucosa"
D, "Fracture of femur", "Contusion of breast", "Emasculation"
C, "Fat embolism", "None", "Amniotic fluid embolism"
C, "Paul muller", "Pampania", "Laveran"
C, "Fungi", "Bacteria", "Protozoa"
C, "C. sinensis", "A. lumbricoides", "S. haematobium"
A, "Lipopolysaccharide", "Lipids", "Nucleic acid"
A, "Iodine → Gentian violet → Carbol fuchsin", "Carbol fuchsin → Gentian violet → Iodine", "Carbol fuchsin → Iodine → Gentian violet"
B, "Attachment", "Antigenic", "Protein in nature"
B, "1.5 %", "4%", "3%"
D, "TCBS medium", "Alkaline peptone water", "Cary-Blair medium"
A, "Indicator media", "Selective media", "Enrichment media"
A, "Penicillin is used for treatment", "Suppurative lymphadenopathy", "Painful ulcer"
B, "Beta hemolytic streptococci", "Pneumococcus", "Clostridium perfringens"
D, "Chancroid", "Bullous impetigo", "Acne vulgaris"
A, "Penicillin is drug of choice", "Thallium acetate inhibits the growth", "Thick cell wall"
A, "L. J. media", "Citrate media", "MC Conkey's Agar"
C, "Milk", "Pulses", "Meat"
B, "Gram positive", "Replicate by binary fission", "Reticulate body is metabolically active"
D, "B", "D", "C"
C, "M. xenopi and MAC", "M. ulcerans", "M. gordonae and M. szulgai"
B, "H pylori", "Spirochetes", "Ps aeroginosa"
C, "it is not capsulated", "Gram positive", "Invasive strain is most common"
B, "Possess a capsule", "Are oxidase positive", "Cause fermentation of glucose"
C, "Plasmid", "Transposons", "Phage"
A, "Inhibition of Ach release from synapse", "Activation of adenylyl cyclase", "Inhibition of protein synthesis"
A, "Endotoxin", "None", "Exotoxin"
C, "Secondary syphilis", "Latent syphilis", "Tertiary syphilis"
A, "H. influenzae ", "Pneumococcus", "Strepto. agalactae"
A, "HGE", "None", "Glandular fever"
C, "Salmonella", "Yersinia", "V. cholerae"
B, "EHEC", "EAEC", "EPEC"
B, "Caused by Y pestis", "By yersinia pseudotuberculosis", "By yersinia enterocolitica"
D, "Not detected by weil felix reaction", "Tick is the vector", "Recurrence is common"
A, "Chancroid", "LGV", "Herpes"
A, "Cat", "Fish", "Dog"
C, "M kansasi", "M leprosy", "M marinum"
C, "Nystatin", "Iodox - uridine", "PenciIlin"
C, "Streptococcus", "Bacteroides", "Clostridium"
C, "Pott's disease", "None", "Poncet's disease"
C, "Fish", "Cattle", "Snaile"
A, "Segmented", "Body cavity present", "Anus present"
A, "Fasciola", "P. carini", "Chlornchis"
C, "Iron deficiency anemia is seen", "Fish is the definitive host", "Operculated egg is diagnostic"
A, "P. westermanii", "T. solium", "F. hepatica"
A, "Ancylostoma", "Dracunculus", "Necator americanus "
B, "Gametocytes to Sporozoite", "Responsible for relapse", "Occurs in human"
A, "Vivax", "Ovale", "Malariae"
C, "P. falciparum", "P. ovale", "P. malariae"
A, "Plasmodium", "Cryptosporidium", "Toxoplasma"
B, "Strongyloides", "Trichenella", "D. latum"
B, "Tail tip free from nuclei", "All", "Non-periodic"
B, "Cestode", "None", "Nematodes"
A, "Interferon", "IL-6", "IL-2"
A, "Conjunctivities", "Papillitis", "Keratitis"
D, "Mucor", "Cryptococcus", "Rhizopus"
C, "Prevent osmotic damage", "Does not contain peptidoglycan", "Azoles act on them"
A, "Candida pscitasi", "Cryptococcus", "Histoplasma"
B, "Balantidium coli", "T. gondii", "Giardia"
D, "T. violaceum", "T. mentagrophytes", "T. schoenleinii"
C, "Mucor", "None", "Aspergillus"
A, "Hela cells", "WI-38", "Vero cells"
C, "Hemadsorption", "Electron microscopy", "Plaque assay"
A, "Norwalk virus", "Adenovirus", "Hep A virus"
C, "Pox virus", "Myxovirus", "Enterovirus"
B, "Acute hepatitis B with high infectivity", "Acute on chronic hepatitis", "Chronic hepatitis with high infectivity"
A, "Limb hypoplasia", "Cicatrix", "Cortical atrophy"
A, "Stool antibody", "Blood antibody", "Stool culture"
C, "Cowpox", "Smallpox", "Fowlpox"
A, "Coxsachie", "HSV", "ECHO"
A, "Dog in rabies", "Cattle in JE", "Man in JE"
D, "Cant be seen in first week", "a and c", "Cant be detected after seroconversion"
D, "Vaccinia", "Molluscum", "Variola"
A, "Circumscribed", "None", "In polio"
D, "Capripoxvirus", "Orthopoxvirus", "Leporipox virus"
B, "Small pox", "EBV", "CMV"
B, "Facilitation of co-receptor", "None", "Fusing of virus and target cell"
C, "Enhancing viral replication", "Maturation", "Decreasing viral replication"
B, "Core antigen in HIV", "Shell antigen", "Genome of HIV"
C, "Sandfly fever", "All of the above", "Ebola virus"
B, "Allantoic cavity", "All", "Yolk sac"
B, "Reoviridae", "Calciviridae", "Coronaviridae"
D, "Hinge region", "Amino end", "Carboxy end"
C, "In antigen excess to antibody", "Hyperimmune reaction", "Antibody excess to antigen"
A, "Adenovirus", "Herpesvirus", "CMV"
A, "CF", "Flocculation test", "Precipitation"
A, "NK cells", "All", "Monocytes"
C, "First line of defence", "Includes complement", "Not affected by genetic affected"
C, "IgG", "IgE", "IgM"
A, "CI", "C2", "C5"
C, "Pie chart", "Pictogram", "Histogram"
B, "B-cell", "CD8+ T cells", "Macrophages"
A, "Ig A", "Ig E", "IgM"
C, "Ig G", "none", "Ig M"
B, "C3b", "C5b", "C5a"
D, "Hinge region", "N-terminal", "C-terminal"
C, "IgG", "IgD", "IgM"
A, "Stimulation of B cells", "Activation of complement", "Enhancement of phagocytosis"
B, "C3, C6, C9", "C1", "C5, C8"
A, "DR", "DP", "DQ"
B, "IgE", "IgM", "IgG"
A, "Casoni's test", "Urease test", "Nitrate test"
B, "Inhibits viral replication in cells", "None", "Is specific for particular virus"
A, "Cyclo-zoonoses", "Sporo-zoonoses", "Direct-zoonoses"
C, "E corrodens", "C violaceum", "C hominis"
B, "V. cholerae", "Shigella", "Salmonella"
D, "Abhraham lincon", "Florence Nightingale", "Bhore"
A, "Plague", "Anthrox", "Leptospirosis"
A, "Central air quality board ", "None", "Central public works dept"
B, "Assessment of time spent by workers in work", "None", "Done in very short period"
C, "Ministry of Social welfare", "Ministry of education", "Ministry of women and child development"
D, "PHC", "School health committee", "CHC"
B, "Better for all the related factors associated with causation of", "Helps to interrupt the risk of transmission", "Epidemiological ratio"
A, "Secondary prevention", "None", "Teriary prevention"
B, "Early stage of disease", "None of the above", "Late stage of disease"
B, "HALE", "None", "OALY"
A, "Cross-sectional studies", "None", "Both"
C, "Case study", "Experimental study", "Case control study"
A, "Interviever bias", "Recell bias", "Information bias "
B, "Measures incidence rate", "Inexpensive study", "Proceeds from effect to cause"
B, "Cohort", "Cross-sectional", "Ecological"
A, "Consistency of association", "Coherence of association", "Strength of association"
A, "Cost benefit", "None", "Both are same"
B, "Population at risk", "Total number of deaths", "Total number of cases"
D, "Secondary attack rate", "Standardized mortality rate", "Hospital admission rate"
C, "Disease risk ratio between exposed and non-exposed", "Communicability of a disease", "Risk difference between exposed and non-exposed"
A, "Number of death during that year", "None", "Number of death in one month"
A, "Edmonshon zagreb", "Moraten", "Schwatz"
C, "Serial interval", "Communicable period", "Generation time"
C, "Guinea", "All", "Yellow fever "
D, "Ticks", "b and c", "Mosquitoes"
C, "Measles", "Tetanus", "Malaria"
D, "Japanies ecephalitis", "Leishmaniasis", "Hydatid disease"
A, "Filaria", "All", "Malaria"
B, "Polio ", "Leprosy", "TB"
D, "Polio ", "None", "Tetanus"
A, "PPV decreases", "PPV may increase or decrease", "No effect on PPV"
B, "Colon ", "None", "Gastric"
B, "Low false negative", "Low true positive", "Low true negative"
B, "Fasting sugar", "Urine sugar", "Glucose tolerance test"
C, "HBV", "HCV", "EBV"
D, "80", "95", "85"
D, "5 months ", "6 months", "7 months"
A, "At birth", "8 weeks", "4 weeks"
A, "2-3 weeks", "5 weeks", "10-15 days"
B, "Rifampicin and isoniazide", "None of the above", "Rifampicin, isoniazide and ethambutol"
A, "To avoid side effects", "None", "To cure early"
A, "Broad spectrum", "None", "Prevent side effects"
A, "Decrease in resistance by conjugation", "None", "To cure disease early"
A, "Killed vaccine", "None", "Conjugated vaccine"
D, "10 Lf", "25 Lf", "15 Lf"
B, "A C", "A W-I35", "C y"
C, "40", "60", "50"
D, "B", "E", "C"
C, "HGD -103", "None", "WC-rBS"
C, "200,000 TCID 50", "400,000 TCID 50", "300,000 TCID 50"
A, "Potassium", "Chloride", "Glucose"
B, "245", "310", "290"
B, "Artesunate", "Mefloquine", "Chloroquine "
A, "< 5% ", "< 20%", "<10%"
A, "A schleri", "Anopheles", "Culex"
D, "600 mg OD/week", "300 mg OD/week", "600 mg/week"
A, "R. typhi & mite", "R. akari & mite", "R. conorii & tick"
B, "Leptotrombidium deliense", "Pediculous humanus", "Lice"
A, "TB", "Trachoma", "Tetanus"
C, "Rx of multibacillary leprosy", "Post Rx surveillance of multibacillary leprosy", "Post Rx surveillance of paucibacillary leprosy"
C, "Street ", "Live Attenuated", "Fixed"
A, "HSV", "Syphilis", "HIV"
A, "> 200", "> 50", "> 100"
A, "Malaria ", "dengue fever", "Filariasis"
A, "14 hrs", "72 hrs", "18 hrs"
A, "Active", "Register", "Passive"
C, "Colorectal cancer", "Oral cancer", "Prostate cancer"
D, "Ponderal's index", "Corpulence index", "Broca's index"
A, "Stanford study", "MONICA", "North Kerala"
C, "40%", "60%", "90%"
D, "Cataract", "Glaucoma", "Trachoma"
B, "Increased morbidity at lower values", "Obesity is > 25 kg/m2", "Increased morbidity at higher values"
C, "High Death Rate and High Birth Rate", "Death Rate begins to decline while Birth Rate remains", "Death Rate declines more than Birth Rate"
B, "India has narrow base", "Developing countries have bulge in the center", "India has narrow apex"
C, "Number of live birth per 1000 women of child bearing age", "None of the above", "Number of daughters a newborn girl will have during life time"
C, "Borstals", "Child guidance clinics", "Remand homes"
C, "2.4 - 2.5 kg", "> 3.0 kg", "2.5 - 2.9 kg"
A, "UNICEF", "None", "ILO"
A, "Male sterilization", "None", "Both"
A, "20 yrs", "None", "1 yrs"
A, "IUCD", "Condom", "Diaphragm"
C, "Prematurity", "Congenital malformations", "Birth injuries "
C, "Birth rate", "Anemia in mother", "Maternal mortality rate"
D, "2 hour after delivary", "None", "4 hour after delivary"
A, "MMR", "DALY", "Hospital bed OCR "
C, "First 7 days after birth", "From period of viability", "Both"
C, "Decreased Na", "Increased calories", "Increased proteins"
B, "Peripartum", "None ", "Postpartum"
A, "1400 cal", "1000 cal", "1000 cal"
A, "600 g", "1000 g", "800 g"
B, "600 mg", "1000 mg", "800 mg"
C, "550mg/day", "750mg/day", "600mg/day"
C, "500 microgram", "50 microgram", "150 microgram"
C, "30 & 10 PPM", "30 & 20 PPM", "30& 15 PPM"
C, "> 2%", "None", "> 0.5%"
A, "Lysine", "Methioninc", "Tryptophan"
C, "Aflatoxin", "Pyrrozolidine", "Sanguinarine"
D, "Soyabean oil", "S afflower oil", "Groundnut oil"
C, "Sludge digester", "Final settling tank", "Aeration tank"
C, "3 mm", "7 mm", "0.5 mm"
C, "0.3 mg/kg", "1 mg/kg", "0.03 mg/kg"
C, "Thiamine", "Riboflavin", "Biotin"
B, "Nitric acid test", "Methylene blue test", "Coliform cunel"
C, "Water testing", "None", "Fortification of salt"
A, "2.2", "4.4", "3.3"
B, "Chemical oxygen demand", "None", "Suspended solid"
A, "Residual spray", "Fumgant", "Stomach poison"
C, "Controlled tipping", "None", "Composting"
C, "Greenhouse effect", "None", "Temperature inversion"
A, "Mite", "Black Fly", "Tick"
A, "Radium", "Radon", "Uranium"
A, "75 gm/lit", "100 gm/lit", "90 gm/lit"
B, "Psychology of individuals in society", "None", "Cultural history of man"
C, "Study of behavior", "None", "Both"
B, "Anthropology", "Sociology", "Acculturation"
C, "Association", "None", "Society"
B, "Cultural changes due to socialisation", "Belief", "Attitude"
B, "Imbecile", "Genius", "Normal"
A, "Arsenic", "Cadmium", "Mercury"
C, "Bladder", "Liver", "Breast"
D, "Carbon monoxide", "Agricultural insecticides", "Mercury"
C, "Negative Eugenics", "Enthenics", "Euthenics"
A, "Health economics", "None of the above", "Social medicine"
A, "Transfer", "Low priority", "High priority"
C, "Red -morbidity", "Blue-ambulatory", "Green-ambulatory"
A, "65%", "100%", "80%"
A, "Single - chamber", "None", "Triple - chamber"
B, "6 to 20 members participates", "Each one prepares the topic of discussion", "Chief members initiates"
A, "Town level", "District level", "City level"
B, "Subccnter", "FRU level", "CHC"
A, "2000 ", "4000", "3000"
A, "Correlation", "Index", "Proportion"
C, "Range of variation", "None", "Correlation coefficient"
B, "Mean < Mode", "Mean = Mode", "Mean>Mode"
A, "Bar diagram", "None", "Scatter diagram"
D, "Range", "Standard deviation", "Variance"
B, "Mode", "Mean", "Standard deviation "
A, "SUS analysis", "VED analysis", "HML analysis "
B, "Manpower and planning", "Integrated health services", "Rural Health Service"
B, "Treatment of STD", "Vitamin A supplementation", "ORS therapy"
B, "Child trafficking", "None", "Child labour"
D, "1955", "1983", "1973"
B, "Rajiv Gandhi scheme", "RCH", "CSSM"
C, "Bhore Committee", "fsludaliar Committee", "Kartar Singh Committee"
B, "Ministry of education", "None", "Ministry of Human Resources Developments"
A, "Case fatality rate", "Specific death rate", "Proportional mortality rate"
A, "Vit C", "Vit A", "Lactose"
A, "Upto 10 yrs", "Upto 20 yrs", "Upto 15 yrs"
B, "40 - 60", "80 - 100", "60 - 80"
D, "100 gm", "75 gm", "150 gm"
C, "45", "65", "55"
D, "300 Calorie", "500 Calorie", "400 Calorie"
A, "Dengue", "Cholera", "TB"
B, "Trauma", "Retinal detachment", "Occulomotor pulsy"
B, "Inversely to focal length", "Inversely to square of focal length", "Directly to focal length"
B, "Object to fovea", "None", "Center of lens to cornea"
C, "Posterior surface of lens", "Posterior surface of cornea", "Anterior surface of cornea"
B, "Myopia", "None", "Astigmatism"
A, "Curvatural ametropia", "Index ametropia", "Axial ametropia"
B, "Pupil dilatation", "Decreased curvature of lens ", "Increased curvature of lens"
B, "Rods and cones", "Bipolar cell", "Ganglion cell"
A, "Inverted and moves in same direction", "Inverted and moves in opposite direction", "Erect and moves in opposite direction"
A, "Ophthalmoscope", "Amsler's grid", "Synoptophore"
D, "Horner-Tranta's spots", "All", "Papillary hypertrophy"
B, "Keratoconus", "Vitreous hemorrhage", "Retinal detachment"
D, "Chromoglycate", "Antibiotics", "Olopatadine"
C, "Chlamydia", "Pseudomonas", "Aspergillus"
B, "Cysticercosis", "Chaga's disease", "Leishmaniasis"
A, "Pneumococcus", "E. coli", "Morexella"
D, "Atropine", "Idoxuridine", "Steroids"
A, "HIV", "Rubella", "HBV"
A, "Tuberculosis", "Viral ulcer", "Sarcoidosis"
B, "Acanthamoeba", "W. bancrofti", "Toxoplasma"
C, "Neovascularization", "All", "Bilateral"
A, "Streptococcus", "Pseudomonas", "Klebsiella"
B, "Aqueous flare", "Miosis", "Hypopyon"
A, "KP", "Trichiasis", "Congestion"
A, "Ankylosing spondylitis", "None", "Toxoplasma"
C, "RA", "Toxoplasma", "AS"
B, "Cataract", "Vitreous hemorrhage", "Retinal detachment"
B, "Posterior uveitis", "Glaucoma", "Cataract"
