question,option_1,option_2,option_3,option_4,answer,subject,topic
"A 10-year-old child weighing 30 kg presents with a history of loose stools for 2 days. Onexamination| there is severe dehydration. Laboratory investigations are as follows. What is theinitial management as per ISPAD guidelines?RBS 550mg/dLpH 7.01Na+ 158mEq/LUrine glucose 3+","Manage ABC| NS 20 mL/kg and start insulin after 1 hour","Manage ABC| NS 20 mL/kg along with insulin 0.1 IU/kg/hr","Manage ABC| NS 10 mL/kg along with insulin 0.1 IU/kg/hr","Manage ABC| NS 10 mL/kg and start insulin after 1 hour","1","Pediatrics","Fluid and Electrolyte Disturbances"
"Which of the following is the best sign to indicate adequate growth in an infant with a birthweight of 2.8 kg?","Increase in length of 25 centimetres in the first year","Weight gain of 300 grams per month till 1 year","Anterior fontanelle closure by 6 months of age","Weight under the 75th percentile and height under the 25th percentile","1","Pediatrics","Growth"
"A 40-year-old female patient came with complaints of chest pain| palpitation| and shortness ofbreath. On examination| a mid-diastolic murmur was heard| and a prominent 'a' wave wasfound on JVP. What is the most likely diagnosis?Mitral regurgitation","Mitral stenosis","Tricuspid stenosis","PrepLadder","Tricuspid regurgitation","2","Medicine","Cardiology"
"A 3-month-old baby complains of deafness| cataract| and patent ductus arteriosus. Which ofthe following is the most likely diagnosis?","Congenital herpes simplex virus infection","Congenital toxoplasmosis","Congenital cytomegalovirus infection","Congenital rubella syndrome","4","Pediatrics","Infectious Diseases"
"In a village| it is observed that several farmers have crossed gait and use a stick for support tostand up and walk. Due to poor yield from farms| they consume meals containing rice andpulses only. Supplementing their diet with which of the following vitamins could haveprevented this?","Vitamin A","Vitamin D","Vitamin C","Vitamin B","3","PSM","Nutrition and Health"
"Research is being conducted to find the association between aniline dye exposure andbladder cancer in workers who have worked in the industry for >20 years. Two groups wereformed: one directly involved with dye handling and the other group consisting of office clerksnot directly exposed to the dye. Years of occupation were noted from records. What type ofstudy is being performed?","Retrospective cohort study","Prospective cohort study","Case-control study","Intervention and response","1","PSM","Epidemiology"
"Chloride level in sweat is used in the diagnosis of which disease?","Phenylketonuria","Cystic fibrosis","Gaucher's disease","Osteogenesis imperfecta","2","Pediatrics","Pediatric Respiratory Disorders"
"A child presents with fever and a rash spreading from the face| behind cheeks| and buccalmucosa to other body parts. On examination| Koplik's spot is present. What is the likelydiagnosis?","Measles","Rubella","Varicella","Mumps","1","Pediatrics","Infectious Diseases"
"The blood pressure of a population was tracked from childhood to adulthood. It was observedthat those who had lower BP in childhood had low BP in adulthood| while those who hadhigher BP in childhood had high BP in adulthood. This can be best described as","Rule of halves","Tracking of blood pressure","STEPwise approach","Primordial approach","2","PSM","Concept of Health and Disease"
"A 3-week-old infant presents with a cough and sore throat. The mother reports that the infantdevelops a paroxysm of cough followed by apnea. The total leucocyte count is >50|000cells/μL. Which of the following drugs will you prescribe for this patient?","Azithromycin","Amoxicillin","Cotrimoxazole","Clarithromycin","1","Pediatrics","Infectious Diseases"
"A 30-week primigravida complaints of reduced vision at night. She has been avoiding papaya|mango| and other fruits throughout her pregnancy as she thinks they could be abortifacients. Itis the primary duty of which of the following workers to provide counseling and information tothe patient?","ANM","AWW","Trained birth attendant","ASHA","4","PSM","Health Care of The Community in India"
"Identify the structure marked in the image.","Fossa of Rosenmuller","Tubal tonsil","Opening of the Eustachian tube","Adenoid","1","ENT","Pharynx"
"A 22-year-old female comes to the STI clinic with minimal vaginal discharge. On speculumexamination| erosions are seen on the cervix. Which of the following kit should be given to thispatient?","Green","Red","Grey","Yellow","3","PSM","Communicable and Non-communicable Diseases"
"The years of potential life lost could be attributed to|","Years lost to morbidity","Years lost due to premature death","Years lost to disability","Years lost to poor quality of life","2","PSM","Concept of Health and Disease"
"The instrument shown in the image is not used for which of the following?","Airway toileting","Upper airway examination","Acute nasopharyngeal obstruction","Prolonged mechanical ventilation","2","ENT","Pharynx"
"In a 10-year-old school child| which of the following vaccines is given as a part of the schoolimmunization program?","Measles vaccine","Rotavirus vaccine","TT/Td vaccine","Hepatitis B vaccine","3","PSM","Vaccines and Cold Chain"
"A 10-year-old child presents with throat pain| fever| and ear pain. He is diagnosed withrecurrent tonsillitis. Which nerve is responsible for the ear pain in this patient?","Tympanic branch of the glossopharyngeal nerve","Greater auricular nerve","Auriculotemporal nerve","Auricular branch of the vagus nerve","1","ENT","Pharynx"
"Which of the following statements is true about cancer treatment according to the Colomboplan?","Help with PET scan units for diagnosis of cancer","Human resource strengthening","Setting up chemotherapy units","Setting up cobalt therapy units","4","PSM","International Health"
"A poor farmer with a history of successive crop failure develops progressive spasticparaparesis| signs of upper motor neuron paralysis| and gait instability. Name the toxinresponsible for this condition.","Aflatoxin","Beta-oxalyl-amino-alanine","Ergot alkaloids","Fusarium toxin","2","PSM","Nutrition and Health"
"A young male came to the hospital with a clean-cut wound without any bleeding. The patientreceived a full course of tetanus vaccination 10 years ago. What is the best management forthis patient?","Human tetanus immunoglobulin and full course of vaccine","Human tetanus immunoglobulin only","Single-dose tetanus toxoid","Full course tetanus toxoid","3","PSM","Vaccines and Cold Chain"
"How is water collected for bacteriological examination during a disease outbreak?","Collect water from already leaking taps","Before collecting| let water flow for at least 1 minute","Water sample container is kept close to the tap avoid spillage","Collect from a gentle stream of water to avoid splashing","4","PSM","Environment and Health"
"A boys' hostel has an outbreak of fever cases with headache| followed by the development ofpleomorphic rashes sparing palms and soles. What is the next best step in the management ofsuspected cases?VZIG-Varicella zoster immunoglobulin","Isolate for 6 days after giving acyclovir| followed by VZIG within 72 hours of exposure.","Isolate for 12 days after giving acyclovir| followed by VZIG within 48 hours of exposure","Isolate for 6 days","Only give VZIG","3","PSM","Communicable and Non-communicable Diseases"
"A patient who is a known case of hypertension on multiple anti-hypertensive medicationscame to OPD. His ECG finding is given below. Which of the following drugs is responsible forthe ECG finding?","Prazosin","Metoprolol","Hydrochlorothiazide","Spironolactone","4","Medicine","Neurology"
"A 78-year-old woman presents with a progressive decline in daily activity. She gives a historyof convulsions and visual hallucinations. She does not talk to anyone and keeps looking at thesky. Pathological examination shows the presence of Lewy bodies within the neurons. What isthe most probable diagnosis?","Parkinson's disease","Prion disease","Huntington's chorea","Alzheimer's disease","1","Medicine","Neurology"
"A patient came to the medical OPD with complaints of polyuria. He has a history of undergoingtotal hypophysectomy. His Na+ levels are found to be 155 mEq/ L| urine osmolarity was 200mOsm/L. What is the definitive management in this patient?","DDAVP for 2 weeks and then discontinue","DDAVP supplementation for lifelong","Upsetting of receptors so no treatment is required","Thiazides for 2 weeks","2","Medicine","Neurology"
"A 65-year-old chronic smoker came to the medicine outpatient department with complaints ofupper chest discomfort and drooping of an eyelid. He also complained of pain radiating to theupper arm and a tingling sensation in the 4th and 5th digits of his left hand. The chest X-ray isgiven below.Which of the following is the most likely diagnosis?","Pancoast tumour","Upper lobe pneumonia","Superior vena cava obstruction","Aspergilloma","1","Medicine","Pulmonology"
"A chronic alcoholic patient presents with acute pain and swelling of the left great toe. There isno history of trauma. Synovial fluid analysis shows raised leukocytes. Lab investigations shownormal serum uric acid levels. What is the most likely diagnosis?","Pseudogout","Acute gout","Reactive arthritis","Septic arthritis","2","Medicine","Rheumatology / Connective Tissue Disorder"
"A chronic alcoholic is brought to the emergency department with confusion| ataxia| and painfuleye movements. The 6th cranial nerve is also involved. What is the likely diagnosis?","Wernicke's encephalopathy","Korsakoff psychosis","Delirium tremens","De Clerambault syndrome","1","Psychiatry","Substance-Related and Addictive Disorders"
"A patient given digoxin started having side effects like nausea and vomiting. The serumconcentration of digoxin was 4 mg/dL. The plasma therapeutic range is 1 mg/dL. If the half-lifeof digoxin is 40 hours| how long should one wait before resuming the treatment?","40 hours","80 hours","120 hours","140-180 hours","2","Pharmacology","General Pharmacology"
"A patient comes to the casualty with organophosphate poisoning. He was started on atropineinfusion and pralidoxime. After 2 hours| the patient had a sudden rise in temperature. What isthe likely cause of fever?","Atropine toxicity","A side effect of pralidoxime","Due to organophosphate poisoning","Idiopathic","1","Pharmacology","ANS Pharmacology"
"A partogram of a woman who is in labor is shown below. Oxytocin infusion is already given.How will you manage the condition?","Forceps-assisted delivery","Vacuum-assisted delivery","Oxytocin infusion","Cesarean section","4","Gynaecology & Obstetrics","Obstetrics"
"The mechanism of action of tissue plasminogen activator is","Inhibit extrinsic pathway","Inhibits platelet aggregation","Enhance fibrin degradation","Inhibit clot formation","3","Pharmacology","CVS Pharmacology"
"A woman presents to you at 36 weeks of gestation with complaints of breathlessness andexcessive abdominal distension. Fetal movements are normal. On examination| fetal parts arenot easily felt and fetal heartbeat is heard but it is muffled. Her symphysis fundal height is 41cm. Her abdomen is tense but not tender. What is the most likely diagnosis?","Abruptio placenta","Hydrocephalus of fetus","Polyhydramnios","Fetal-maternal ascites","3","Gynaecology & Obstetrics","Obstetrics"
"For which of the following procedures in the given OT list| can you preferably do ahysteroscopy?","Tubal ligation","Asherman syndrome","Endocervical polyp","Subserosal fibroid","2","Gynaecology & Obstetrics","Gynecology"
"A primigravida presents to you with anemia early in her pregnancy. She is 7 weeks pregnantas seen on ultrasound. Her hemoglobin level is 9 g/dL. When should the iron supplements bestarted for her?","10 to 12 weeks","8 to 10 weeks","After 14 weeks","After 20 weeks","2","Gynaecology & Obstetrics","Obstetrics"
"A 23-year-old woman accompanied by her mother-in-law comes to the infertility clinic. She hasbeen having regular intercourse for 6 months but is not able to conceive. What is the next beststep?","Semen analysis for husband","Reassure and review the couple after 6 months","Hysterolaparoscopy","Diagnostic hysteroscopy","2","Gynaecology & Obstetrics","Gynecology"
"During resuscitation| when is the given position indicated?","Unconsciousness with pulse and breathing absent","Unconsciousness with pulse present and breathing absent","Unconsciousness with pulse and breathing present","Unconsciousness with pulse absent and breathing present","3","Anaesthesia","Cardiopulmonary Cerebral Resuscitation"
"A 50-year-old woman presents with foul-smelling bloody discharge per vagina mixed withmucous. On examination| a necrotizing growth is seen in the cervix with lateral parametriuminvolvement. What is the management for this patient?","Chemotherapy","Brachytherapy","Chemoradiation","Surgery","3","Gynaecology & Obstetrics","Gynecology"
"A 28-year-old woman with a history of multiple sexual partners presents with lower abdominalpain for 1 month. She experiences minimal discharge and complaints of intermenstrualbleeding. What is the most likely cause?","Herpes simplex","Genital tuberculosis","Candida","Neisseria gonorrhoea","2","Gynaecology & Obstetrics","Gynecology"
"A woman is set to undergo a complete laparoscopic hysterectomy. She wants to know if thereare any disadvantages to this procedure. What are the disadvantages of laproscopisover-open surgery?","Prolonged recovery time","Not knowing the extent of thermal burns","Increased bleeding","Increased pain","2","Gynaecology & Obstetrics","Gynecology"
"A 27-year-old pregnant G3P2L2 woman presents to you at 36+6 weeks. Ultrasound is doneand shows the fetus is in a transverse lie. The liquor is adequate| the placenta is normal| andshe has no risk factors. Both her previous deliveries were normal vaginal deliveries. How willyou manage this patient?","Cesarean section","External cephalic version","Expectant management","Induction of labor","2","Gynaecology & Obstetrics","Obstetrics"
"A female presents to you with 6 weeks of amenorrhea complaining of bleeding per vagina andslight abdominal pain. The urine pregnancy test is positive and hCG level is 2800 IU/L. A massis seen on the left adnexa measuring 3 x 2.5 cm. She is hemodynamically stable. How will youmanage this patient?hCG-Human chorionic gonadotropin","Oral methotrexate","Single-dose methotrexate injection","Serial methotrexate + leucovorin rescue","Salpingectomy","2","Gynaecology & Obstetrics","Gynecology"
"A 24-year-old woman who is being treated for infertility with human menopausal gonadotropincame with complaints of sudden abdominal pain| nausea| vomiting| and breathlessness. Thefinding of the ultrasound is shown below. What is the most likely diagnosis?","Ovarian hyperstimulation syndrome","Polycystic ovarian syndrome","Theca lutein cysts","Granulosa cell tumor","1","Gynaecology & Obstetrics","Gynecology"
"During a hysteroscopic removal of a submucosal fibroid| a fluid deficit of 2000 mL is estimatedin a patient. What is the immediate complication of this?","Acute tubular necrosis","DIC","Pulmonary edema","Thromboembolism","3","Gynaecology & Obstetrics","Gynecology"
"A woman comes with complaints of pain and swelling in the perineal area. She also hascomplaints of difficulty in walking and sitting. She gives a history of multiple sexual partners.On examination| a tender swelling is seen with redness on the labia| as shown in the imagegiven below. What is the most likely diagnosis?","Chlamydial infection","Bartholin abscess","Genital Tuberculosis","Herpes infection","2","Gynaecology & Obstetrics","Gynecology"
"A 54-year-old woman was diagnosed with advanced cervical cancer. She has a 14-year-olddaughter. What advice would you give her daughter?Advise HPV vaccine","PrepLadder","Screen for BRCA mutation","Screen for PTEN mutation","Perform cervical biopsy","1","Gynaecology & Obstetrics","Gynecology"
"A 17-year-old girl is seen for primary amenorrhea. There is no development of breasts or hairin the pubic or axillary region. Her height is 155 cm| and her weight is 48 kg. She has bilateralinguinal masses. The uterus| fallopian tube| and Ovary are absent on ultrasound examination.What is the most likely diagnosis?","Complete androgen insensitivity syndrome","Hypergonadotropic hypogonadism","Turner syndrome","Polycystic ovary syndrome","2","Gynaecology & Obstetrics","Gynecology"
"A 54-year-old woman presents with cervical cancer stage 2A. It is decided to give neoadjuvantchemotherapy. What does neoadjuvant chemotherapy mean?","Chemotherapy is given along with radiation.","Chemotherapy is given during surgery.","Chemotherapy is given before radical surgery to reduce the bulk of the tumor","Chemotherapy is given after radical surgery for micrometastases","3","Surgery","Oncology"
"A 16-year-old girl presents with cyclical pelvic pain every month. She has not achievedmenarche yet. On examination| a suprapubic bulge can be seen in the lower abdomen. PRexamination reveals a bulging swelling in the anterior aspect. What is the most likelydiagnosis?","Transverse vaginal septum above the vagina","Vaginal atresia","Imperforate hymen","Cervical agenesis","3","Gynaecology & Obstetrics","Gynecology"
"A pregnant woman comes to the clinic. She already has twins by normal delivery. Which of thefollowing is the correct representation of her obstetric score?","G3P2","G3P1","G2P1","G2P2","3","Gynaecology & Obstetrics","Obstetrics"
"A patient presents with sudden onset of hematemesis. He has been taking aspirin for hisarthritis and drinks alcohol occasionally. He gives a history of occasional abdominal pain. Onexamination| there is no abdominal mass or tenderness. What is the likely diagnosis?","Mallory-Weiss tear","Esophagitis","Peptic ulcer","Esophageal varices","3","Surgery","Gastrointestinal Surgery"
"A woman presents to you at 36 weeks of gestation with complaints of feeling lightheadednessand dizziness when she lies on her back. She says she feels alright if she lies on her side orwhen walks. What is the most likely reason behind this?IVC- inferior vena cava","Increased intracranial pressure","IVC compression","Heavy meals","Excessive venous pooling at the feet","2","Gynaecology & Obstetrics","Obstetrics"
"A 40-year-old male patient presents with a swelling that has been slowly growing in the past 2years. On examination| it was variable in consistency and fully mobile. What is the most likelydiagnosis?","Dermoid cyst","Parotid tumor","Sebaceous cyst","Cervical lymph node","2","Surgery","Oncology"
"A woman with endometrial carcinoma is undergoing radiotherapy. Which of the following istrue?","Intensity is inversely proportional to the square of the distance from the source","Small blood vessels are most radioresistant","Rapidly proliferating cells are most radioresistant","Small intestinal mucosa is most radio-resistant","1","Radiology","Radiotherapy"
"A child before playing consumed fruit from the garden. After some time he developed a highfever| confusion| photophobia| and unable to urinate. What are the likely causative agent andthe appropriate antidote used in this case?","Datura| Pralidoxime","Datura| Physostigmine","Yellow oleander| Pralidoxime","Yellow oleander| Physostigmine","2","Forensic Medicine","Forensic Toxicology"
"A patient presents with a history of fever and cough for the past 3-5 days. His examinationfindings reveal crepitations. Chest X-ray is given below. What is the probable diagnosis?","Apical segment of Right lower lobe consolidation","Right middle lobe consolidation","Posterior segment of right lower lobe consolidation","Loculated pleural effusion","2","Radiology","Thoracic Radiology"
"Injury at which of the following marked sites causes failure of dorsiflexion?","3","2","1","4","1","Anatomy","Lower Limb"
"A patient presents with swelling under the left ear lobule and complains of pain. Which of thefollowing structures is the likely cause of the pain?","Facial nerve","Greater auricular nerve","Auriculotemporal nerve","Investing layer of deep cervical fascia","2","Anatomy","Head and Neck"
"A child presents with bone pain and hepatosplenomegaly. A trephine biopsy and aspirateshow the following finding. Which of the following is the most likely enzyme deficient in thiscondition?","Hexosaminidase","Glucocerebrosidase","Sphingomyelinase","Alpha 1|4-glucosidase","2","Biochemistry","Lipid Metabolism"
"The method of autopsy carried out en masse to remove from tongue to prostate is.","Virchow technique","Rokitansky technique","Ghon technique","Letulle technique","4","Forensic Medicine","Forensic Thanatology"
"A 42-year-old HIV-positive patient died| and his body was brought for post-mortem. Themethod of autopsy to be done is___","Ghon technique","Letulle technique","Virchow technique","Rokitansky technique","4","Forensic Medicine","Forensic Thanatology"
"A patient presented with a high fever| altered sensorium| headache| neck rigidity| andseizures. He was diagnosed with HSV encephalitis. Which of the following tests can be usedto confirm the diagnosis?","IgM in CSF","Tzanck smear of CSF","CSF PCR for viral DNA","CSF culture on chick embryo lines","3","Microbiology","Virology"
"In a patient presented with a fever and a positive filarial antigen test| what is the nextappropriate method of management?","Bone marrow biopsy","DEC provocation test","Detection of microfilariae in the blood smear","Ultrasound of the scrotum","3","Microbiology","Parasitology"
"A 10-year-old male child came to the casualty with difficulty in walking and pain in the perianalregion. On subjecting the specimen from the perianal region to a test| it produces yellowneedle-shaped rhombic crystals with picric acid. What is the test done?","Barberio test","Florence test","Teichmann test","Acid phosphatase test","1","Forensic Medicine","Sexual Jurisprudence"
"Which of the following refractive errors is associated with the image given below?","Presbyopia","Astigmatism","Hypermetropia","Myopia","2","Ophthalmology","Optics"
"Which of the following is true regarding the Mendelian mode of inheritance?rd of Mendelian disorders are autosomal dominant","Every 10th patient has a Y-linked disorder","1/3rd of Mendelian disorders is autosomal recessive","Every 5th patient has an X-linked recessive disorder","2/3","4","Pathology","Genetics"
"A patient was brought to casualty with seizures. He had multiple episodes and was takingherbal medicines for the same. He was conscious in between the episodes. During theepisodes| he had arching of his back. What is the likely cause?","Strychnine","Ricinus","Nerium odorum","Datura","1","Forensic Medicine","Forensic Toxicology"
"An infant is brought with complaints of excessive watering of the eyes and photophobia. Theimage is given below. What is the likely diagnosis?Ophthalmia neonatorum","Congenital glaucoma","Congenital cataract","Mucopolysaccharidosis","PrepLadder","1","Ophthalmology","Glaucoma"
"A 60-year-old patient complains of decreased distant vision but now he does not usespectacles for near vision. The image of his ocular examination is given below. What is thistype of refractive error called?","Index myopia","Axial myopia","Curvatural myopia","Positional myopia","1","Ophthalmology","Optics"
"A child is brought to the hospital with respiratory distress and biphasic stridor. The radiographis shown below. What is the diagnosis?Laryngomalacia","Acute epiglottitis","Acute laryngotracheobronchitis","Foreign body aspiration","PrepLadder","2","Pediatrics","Pediatric Respiratory Disorders"
"A child presents with intermittent jaundice and splenomegaly. There is a history of similarcomplaints in the elder brother. Peripheral smear shows the following finding. How will youinvestigate this condition?","Osmotic fragility test - Hereditary spherocytosis","Coombs test - AIHA","G6PD deficiency - Genetic testing","Paroxysmal nocturnal hemoglobinuria - Flow cytometry","1","Pathology","Hematology: Red Blood Cells"
"A 3-month-old baby presents with jaundice and clay-coloured stools. Lab investigation revealsthat the baby has conjugated hyperbilirubinemia. The liver biopsy shows periductalproliferation. What is the most likely diagnosis?","Crigler-Najjar syndrome","Rotor syndrome","Dubin-Johnson syndrome","Biliary atresia","4","Pediatrics","Pediatric Gastroenterology"
"Section 314 IPC deals with","Causing miscarriage with the consent of the mother","Causing miscarriage without the consent of the mother","Death of the mother by act done with intent to cause miscarriage","Causing the death of the quick unborn child by an act amounting to culpable homicide","3","Forensic Medicine","Sexual Jurisprudence"
"An African child is found to have a mass in the jaw. A biopsy of the mass was done| and itappears as shown in the image below. The child also had a translocation of t(8;14). What isthe probable diagnosis?","Acute myeloid leukemia","Follicular lymphoma","Multiple myeloma","Burkitt lymphoma","4","Pathology","Hematology: White Blood Cells"
"An infant presents with hepatosplenomegaly and thrombocytopenia. Neuroimaging with CTshows periventricular calcifications. What is the most likely diagnosis?","Congenital rubella syndrome","Congenital herpes simplex virus infection","Congenital toxoplasmosis","Congenital cytomegalovirus infection","4","Pediatrics","Infectious Diseases"
"The temperature of a body of a deceased person is found to be 39 degrees Celsius. Which ofthe following is the most probable reason?","Cyanide poisoning","Septicemia","Corrosive poisoning","Intra-abdominal hemorrhage","2","Forensic Medicine","Forensic Thanatology"
"A child presented to the hospital with cola-colored urine| hypertension| and puffiness of eyes.Laboratory investigations were done| and creatinine was 2.5 mg/dL.Treatment was started| and despite treatment| the patient did not improve for the next 3weeks. The creatinine value increased to 4.5 mg/dL. Which among the following electronmicroscopic findings will be seen in this patient?","Subendothelial deposits","Subepithelial deposits","Crescent formation","Mesangial deposits","2","Pathology","Renal System"
"A 35-year-old homeless man presented with a 1-month history of fever| cough| and weightloss. Both sputum smears turned out to be negative| but the chest x-ray ordered wassuggestive of tuberculosis. According to the recent NTEP guidelines| which is the next bestline of management?","Repeat sputum smears","Ask for CBNAAT","Ask for line probe assay","Wait until TB culture results to start ATT","2","PSM","Communicable and Non-communicable Diseases"
"A farmer was sleeping in the field| and he felt a sting on his leg. He saw something movingaway quickly. He then got drowsy and was taken to the hospital. He developed pain aroundthe site and continued to bleed profusely from the wound site. The wound became red withblisters. Which of the following is the most likely cause?","Viper","Cobra","Wasp bite","Scorpion","1","Forensic Medicine","Forensic Toxicology"
"A patient was transfused 4 units of blood 2 hours ago| and now she complains of chestdiscomfort. X-ray shows bilateral fissural thickening. Which of the following is the mostprobable cause?Graft-versus-host disease","ABO incompatibility reactions","Fluid overload","Hypocalcemia","PrepLadder","2","Pathology","Blood Banking and Transfusion Medicine"
"Which of the following is the sensitive indicator to assess the availability| utilization| andeffectiveness of healthcare in a community?","Infant mortality rate","Maternal mortality rate","Immunization coverage","Disability-adjusted life years","1","PSM","Epidemiology"
"A 48-year-old man presents with complaints of facial puffiness| frothy urine| and hypertension.He gives a history of infection with hepatitis B. Urine examination reveals microscopichematuria. The histopathological image of the kidney biopsy shows a spike and dome pattern.What is the diagnosis of this condition?","Minimal change disease","Membranous nephropathy","FSGS","PSGN-associated disease","2","Pathology","Renal System"
"A 5-year-old child is brought with fever| fatigue| and left ventricular dysfunction. Anendomyocardial biopsy is shown below. What is the probable diagnosis?","Acute rheumatic fever","Chagas disease","Pyogenic myocarditis","Lymphocytic myocarditis","4","Pathology","CVS| Blood Vessels and Vasculitis"
"An elderly male is known as a smoker presented with chronic cough| significant weight loss|and fatigue. Serum calcium level is raised. A lung biopsy was done| and it showed largeatypical cells with hyperchromasia. What is the probable diagnosis?","Large cell neuroendocrine tumor","Small cell carcinoma","Adenocarcinoma","Squamous cell carcinoma","4","Pathology","Respiratory System"
"An elderly male went for a medical examination. Laboratory investigations showed a markedelevation of lymphocytes with marked leukocytosis. The peripheral smear of the patient isgiven below. What is the appropriate next step for this patient?","Stem cell transplantation","Bone marrow biopsy","Flow cytometry","Start high-dose chemotherapy","3","Pathology","Hematology: White Blood Cells"
"A 25-year-old male presented with low hemoglobin| platelet count of 25|000/mL| gumbleeding| and raised PT & aPTT. The image of his peripheral smear is given below. What isthe likely diagnosis?","AML with t(8;21)","AML with inv(16)","AML with t(15;17)","AML with t(11;22)","3","Pathology","Platelets and Blood Transfusion"
"A young patient presents with a large retroperitoneal hemorrhage. He also gives a frequenthistory of intermittent swelling of knees on strenuous exercise. There is no history of anymucosal bleeding. Which among the following clotting factors is responsible for the conditionmentioned above?","Factors VIII and IX","Factors XI and XII","Von Willebrand factor","Lupus anticoagulant","1","Pathology","Platelet and Bleeding Disorders"
"A chronic smoker who worked in a cement factory for 20 years developed mesothelioma. Theassociation is likely to be due to ________.","Silicosis","Asbestosis","Coal workers' pneumoconiosis","Bagassosis","2","Pathology","Respiratory System"
"The average daily dietary nutrient intake level sufficient to meet the nutrient requirements ofnearly all (97-98%) healthy individuals in a particular life stage and gender group is known as?If you wish to access the detailed explanations for the correct andincorrect options of these questions| download the  app now.Download 's NEET PG app for AndroidDownload 's NEET PG app for iOS","Adequate intake","Dietary goal","Estimated average requirement","Recommended dietary allowance","4","PSM","Nutrition and Health"
